USING           -> using
IDENTIFICADOR   -> System
PUNTO_COMA      -> ;
PUBLIC          -> public
CLASS           -> class
NOMBRE_CLASE    -> Producto
LLAVE_IZQ       -> {
STRING          -> string
IDENTIFICADOR   -> nombre
ASIGNACION      -> =
STRING_LITERAL  -> Mouse inalámbrico
PUNTO_COMA      -> ;
FLOAT           -> float
IDENTIFICADOR   -> precio
ASIGNACION      -> =
FLOAT_LITERAL   -> 19.99
PUNTO_COMA      -> ;
INT             -> int
IDENTIFICADOR   -> stock
ASIGNACION      -> =
NUMERO          -> 12
PUNTO_COMA      -> ;
PUBLIC          -> public
VOID            -> void
IDENTIFICADOR   -> MostrarInfo
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Producto: 
MAS             -> +
IDENTIFICADOR   -> nombre
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Precio: $
MAS             -> +
IDENTIFICADOR   -> precio
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Stock disponible: 
MAS             -> +
IDENTIFICADOR   -> stock
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IF              -> if
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> stock
MAYOR           -> >
NUMERO          -> 0
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Producto en inventario.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
ELSE            -> else
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Producto agotado.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
IF              -> if
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> precio
MAYOR_IGUAL     -> >=
NUMERO          -> 15
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Precio válido para la venta.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
ELSE            -> else
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Precio demasiado bajo, revisar margen de ganancia.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
LLAVE_DER       -> }
PUBLIC          -> public
BOOL            -> bool
IDENTIFICADOR   -> DisponibleParaVenta
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IF              -> if
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> stock
MAYOR           -> >
NUMERO          -> 0
AND             -> &&
IDENTIFICADOR   -> precio
MAYOR_IGUAL     -> >=
NUMERO          -> 15
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
RETURN          -> return
IDENTIFICADOR   -> true
PUNTO_COMA      -> ;
LLAVE_DER       -> }
RETURN          -> return
IDENTIFICADOR   -> false
PUNTO_COMA      -> ;
LLAVE_DER       -> }
PUBLIC          -> public
ENUM            -> enum
IDENTIFICADOR   -> Categoria
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Electronica
COMA            -> ,
IDENTIFICADOR   -> Oficina
COMA            -> ,
IDENTIFICADOR   -> Hogar
LLAVE_DER       -> }
PUBLIC          -> public
STRUCT          -> struct
IDENTIFICADOR   -> Garantia
LLAVE_IZQ       -> {
PUBLIC          -> public
INT             -> int
IDENTIFICADOR   -> anios
PUNTO_COMA      -> ;
PUBLIC          -> public
BOOL            -> bool
IDENTIFICADOR   -> incluyeDanios
PUNTO_COMA      -> ;
PUBLIC          -> public
IDENTIFICADOR   -> Garantia
PARENTESIS_IZQ  -> (
INT             -> int
IDENTIFICADOR   -> anios
COMA            -> ,
BOOL            -> bool
IDENTIFICADOR   -> incluyeDanios
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
THIS            -> this
PUNTO           -> .
IDENTIFICADOR   -> anios
ASIGNACION      -> =
IDENTIFICADOR   -> anios
PUNTO_COMA      -> ;
THIS            -> this
PUNTO           -> .
IDENTIFICADOR   -> incluyeDanios
ASIGNACION      -> =
IDENTIFICADOR   -> incluyeDanios
PUNTO_COMA      -> ;
LLAVE_DER       -> }
LLAVE_DER       -> }
LLAVE_DER       -> }
PUBLIC          -> public
CLASS           -> class
NOMBRE_CLASE    -> Inventario
LLAVE_IZQ       -> {
PUBLIC          -> public
VOID            -> void
IDENTIFICADOR   -> ClasificarProducto
PARENTESIS_IZQ  -> (
INT             -> int
IDENTIFICADOR   -> codigo
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
SWITCH          -> switch
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> codigo
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
CASE            -> case
NUMERO          -> 100
DOS_PUNTOS      -> :
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Producto clasificado como: Electrónica
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
BREAK           -> break
PUNTO_COMA      -> ;
CASE            -> case
NUMERO          -> 200
DOS_PUNTOS      -> :
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
